year,term,start_date,end_date,source_id
2010,1,2010-01-27,2010-04-01,newcastle_2009
2010,2,2010-04-19,2010-07-02,newcastle_2009
2010,3,2010-07-19,2010-09-24,newcastle_2009
2010,4,2010-10-11,2010-12-17,newcastle_2009
2011,1,2011-01-28,2011-04-08,glenwood_2011
2011,2,2011-04-27,2011-07-01,glenwood_2011
2011,3,2011-07-18,2011-09-23,glenwood_2011
2011,4,2011-10-10,2011-12-20,glenwood_2011
2012,1,2012-01-27,2012-04-05,coleambally_2011
2012,2,2012-04-23,2012-06-29,coleambally_2011
2012,3,2012-07-16,2012-09-21,coleambally_2011
2012,4,2012-10-08,2012-12-21,coleambally_2011
2013,1,2013-01-29,2013-04-12,castlehill_2012
2013,2,2013-04-29,2013-06-28,castlehill_2012
2013,3,2013-07-15,2013-09-20,castlehill_2012
2013,4,2013-10-08,2013-12-20,castlehill_2012
2014,1,2014-01-28,2014-04-11,tuggerawong_2014
2014,2,2014-04-28,2014-06-27,tuggerawong_2014
2014,3,2014-07-14,2014-09-19,tuggerawong_2014
2014,4,2014-10-07,2014-12-19,tuggerawong_2014
2015,1,2015-01-27,2015-04-02,campbelltown_2015
2015,2,2015-04-20,2015-06-26,campbelltown_2015
2015,3,2015-07-13,2015-09-18,campbelltown_2015
2015,4,2015-10-06,2015-12-18,campbelltown_2015
2016,1,2016-01-27,2016-04-08,nsw_education
2016,2,2016-04-26,2016-07-01,nsw_education
2016,3,2016-07-18,2016-09-23,nsw_education
2016,4,2016-10-10,2016-12-20,nsw_education
2017,1,2017-01-27,2017-04-07,nsw_education
2017,2,2017-04-24,2017-06-30,nsw_education
2017,3,2017-07-17,2017-09-22,nsw_education
2017,4,2017-10-09,2017-12-19,nsw_education
2018,1,2018-01-29,2018-04-13,nsw_education
2018,2,2018-04-30,2018-07-06,nsw_education
2018,3,2018-07-23,2018-09-28,nsw_education
2018,4,2018-10-15,2018-12-21,nsw_education
2019,1,2019-01-29,2019-04-12,nsw_education
2019,2,2019-04-29,2019-07-05,nsw_education
2019,3,2019-07-22,2019-09-27,nsw_education
2019,4,2019-10-14,2019-12-20,nsw_education
2020,1,2020-01-28,2020-04-09,nsw_education
2020,2,2020-04-27,2020-07-03,nsw_education
2020,3,2020-07-20,2020-09-25,nsw_education
2020,4,2020-10-12,2020-12-18,nsw_education
2021,1,2021-01-27,2021-04-01,nsw_education
2021,2,2021-04-19,2021-06-25,nsw_education
2021,3,2021-07-12,2021-09-17,nsw_education
2021,4,2021-10-05,2021-12-17,nsw_education
