fold_id,role,train_start,origin,forecast_end_exclusive
development_20160101,development,2010-01-01 00:00:00,2016-01-01 00:00:00,2017-01-01 00:00:00
development_20160401,development,2010-01-01 00:00:00,2016-04-01 00:00:00,2017-04-01 00:00:00
development_20160701,development,2010-01-01 00:00:00,2016-07-01 00:00:00,2017-07-01 00:00:00
development_20161001,development,2010-01-01 00:00:00,2016-10-01 00:00:00,2017-10-01 00:00:00
development_20170101,development,2010-01-01 00:00:00,2017-01-01 00:00:00,2018-01-01 00:00:00
development_20170401,development,2010-01-01 00:00:00,2017-04-01 00:00:00,2018-04-01 00:00:00
development_20170701,development,2010-01-01 00:00:00,2017-07-01 00:00:00,2018-07-01 00:00:00
development_20171001,development,2010-01-01 00:00:00,2017-10-01 00:00:00,2018-10-01 00:00:00
final_test_20190101,final_test,2010-01-01 00:00:00,2019-01-01 00:00:00,2020-01-01 00:00:00
final_test_20200101,final_test,2010-01-01 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00
