DATETIME,TOTALDEMAND,REGIONID,LOCATION,TEMPERATURE,forecast_closest,forecast_12hr_prior,forecast_dayprior
2010-01-01 00:00:00,8038.0,NSW1,Bankstown,23.1,7999.11,7811.86,7822.38
2010-01-01 00:30:00,7809.31,NSW1,Bankstown,22.9,7596.21,7612.63,7715.68
2010-01-01 01:00:00,7483.69,NSW1,Bankstown,22.6,7380.7,7339.64,7482.56
2010-01-01 01:30:00,7117.23,NSW1,Bankstown,22.5,7022.05,7009.55,7129.32
2010-01-01 02:00:00,6812.03,NSW1,Bankstown,22.5,6682.92,6683.15,6800.73
2010-01-01 02:30:00,6544.33,NSW1,Bankstown,22.4,6381.27,6401.67,6544.75
2010-01-01 03:00:00,6377.32,NSW1,Bankstown,22.3,6213.33,6243.17,6353.44
2010-01-01 03:30:00,6282.85,NSW1,Bankstown,22.3,6203.95,6104.23,6205.52
2010-01-01 04:00:00,6211.49,NSW1,Bankstown,22.1,6161.87,6053.01,6144.83
2010-01-01 04:30:00,6248.31,NSW1,Bankstown,22.2,6101.96,6015.28,6014.24
2010-01-01 05:00:00,6198.61,NSW1,Bankstown,22.2,6072.26,5995.92,5994.51
2010-01-01 05:30:00,6237.35,NSW1,Bankstown,22.3,6080.86,6008.95,6006.75
2010-01-01 06:00:00,6370.48,NSW1,Bankstown,22.5,6124.25,6051.89,6049.43
2010-01-01 06:30:00,6506.42,NSW1,Bankstown,23.2,6385.84,6153.56,6154.77
2010-01-01 07:00:00,6738.75,NSW1,Bankstown,23.3,6592.32,6361.72,6361.95
2010-01-01 07:30:00,6980.41,NSW1,Bankstown,23.8,6792.01,6581.24,6580.89
2010-01-01 08:00:00,7213.33,NSW1,Bankstown,24.5,7051.39,6866.25,6860.61
2010-01-01 08:30:00,7515.6,NSW1,Bankstown,24.6,7486.26,7130.57,7124.6
2010-01-01 09:00:00,7761.46,NSW1,Bankstown,25.3,7758.09,7407.54,7393.17
2010-01-01 09:30:00,7915.54,NSW1,Bankstown,24.6,7978.66,7642.15,7626.3
2010-01-01 10:00:00,8067.16,NSW1,Bankstown,24.5,8175.18,7853.77,7840.8
2010-01-01 10:30:00,8123.31,NSW1,Bankstown,25.2,8322.0,8044.8,8031.38
2010-01-01 11:00:00,8195.51,NSW1,Bankstown,25.4,8450.72,8220.4,8210.44
2010-01-01 11:30:00,8221.36,NSW1,Bankstown,25.6,8247.46,8364.14,8357.5
2010-01-01 12:00:00,8278.09,NSW1,Bankstown,27.0,8279.9,8500.63,8496.38
2010-01-01 12:30:00,8361.58,NSW1,Bankstown,27.4,8342.2,8490.56,8619.1
2010-01-01 13:00:00,8337.92,NSW1,Bankstown,28.1,8406.35,8560.36,8699.39
2010-01-01 13:30:00,8421.08,NSW1,Bankstown,28.6,8424.02,8644.11,8793.5
2010-01-01 14:00:00,8477.34,NSW1,Bankstown,28.4,8521.1,8705.4,8869.08
2010-01-01 14:30:00,8501.39,NSW1,Bankstown,28.8,8603.79,8735.67,8909.94
2010-01-01 15:00:00,8557.94,NSW1,Bankstown,28.2,8683.61,8816.94,8939.75
2010-01-01 15:30:00,8603.11,NSW1,Bankstown,28.6,8741.83,8829.64,8967.76
2010-01-01 16:00:00,8715.69,NSW1,Bankstown,28.8,8789.12,8922.21,9079.16
2010-01-01 16:30:00,8791.61,NSW1,Bankstown,28.5,8822.9,8989.89,9160.67
2010-01-01 17:00:00,8883.98,NSW1,Bankstown,28.3,8828.45,9020.3,9203.56
2010-01-01 17:30:00,8835.92,NSW1,Bankstown,27.9,8744.07,8895.05,9092.24
2010-01-01 18:00:00,8765.46,NSW1,Bankstown,27.3,8649.99,8800.58,8970.7
2010-01-01 18:30:00,8640.56,NSW1,Bankstown,26.8,8521.46,8610.71,8804.13
2010-01-01 19:00:00,8544.55,NSW1,Bankstown,26.5,8401.48,8422.58,8639.52
2010-01-01 19:30:00,8562.12,NSW1,Bankstown,26.2,8375.25,8284.56,8510.7
2010-01-01 20:00:00,8635.78,NSW1,Bankstown,25.9,8421.63,8385.85,8562.01
2010-01-01 20:30:00,8573.05,NSW1,Bankstown,25.7,8453.55,8258.47,8461.68
2010-01-01 21:00:00,8333.54,NSW1,Bankstown,25.5,8241.06,8027.48,8259.18
2010-01-01 21:30:00,8343.8,NSW1,Bankstown,25.2,8177.73,7976.43,8222.9
2010-01-01 22:00:00,8295.59,NSW1,Bankstown,25.1,7936.82,7730.5,8000.33
2010-01-01 22:30:00,8210.54,NSW1,Bankstown,24.9,8023.06,7579.96,7891.94
2010-01-01 23:00:00,8041.77,NSW1,Bankstown,24.7,8090.9,7585.99,7691.59
2010-01-01 23:30:00,7782.68,NSW1,Bankstown,24.6,7803.85,7366.01,7505.48
2010-01-02 00:00:00,7574.85,NSW1,Bankstown,24.0,7427.88,7187.48,7269.95
2010-01-02 00:30:00,7343.3,NSW1,Bankstown,24.3,7224.98,7201.3,7208.39
2010-01-02 01:00:00,7099.73,NSW1,Bankstown,24.2,6969.69,6974.06,6968.42
2010-01-02 01:30:00,6779.8,NSW1,Bankstown,24.2,6843.15,6627.91,6628.73
2010-01-02 02:00:00,6497.47,NSW1,Bankstown,24.1,6514.63,6327.21,6324.71
2010-01-02 02:30:00,6347.69,NSW1,Bankstown,23.9,6257.37,6139.6,6132.71
2010-01-02 03:00:00,6223.64,NSW1,Bankstown,23.6,6099.95,5997.2,5981.84
2010-01-02 03:30:00,6182.07,NSW1,Bankstown,23.5,6012.77,5917.12,5906.19
2010-01-02 04:00:00,6140.82,NSW1,Bankstown,23.3,5945.8,5884.47,5864.03
2010-01-02 04:30:00,6224.48,NSW1,Bankstown,22.9,6127.8,5906.19,5905.52
2010-01-02 05:00:00,6260.0,NSW1,Bankstown,22.7,6141.81,5932.2,5931.24
2010-01-02 05:30:00,6336.2,NSW1,Bankstown,22.4,6190.55,5965.18,5966.4
2010-01-02 06:00:00,6470.82,NSW1,Bankstown,23.1,6263.07,6057.55,6062.34
2010-01-02 06:30:00,6679.67,NSW1,Bankstown,24.3,6501.3,6279.17,6285.7
2010-01-02 07:00:00,7032.62,NSW1,Bankstown,24.9,7042.01,6616.21,6621.93
2010-01-02 07:30:00,7394.7,NSW1,Bankstown,25.5,7431.9,7033.75,7035.6
2010-01-02 08:00:00,7788.18,NSW1,Bankstown,26.6,7796.29,7434.29,7420.44
2010-01-02 08:30:00,8219.48,NSW1,Bankstown,26.9,8165.04,7837.12,7821.27
2010-01-02 09:00:00,8344.2,NSW1,Bankstown,27.5,8471.24,8034.43,8027.65
2010-01-02 09:30:00,8572.63,NSW1,Bankstown,28.0,8668.54,8281.15,8282.33
2010-01-02 10:00:00,8698.38,NSW1,Bankstown,28.8,8788.71,8451.02,8458.14
2010-01-02 10:30:00,8924.21,NSW1,Bankstown,28.9,8838.4,8599.57,8610.43
2010-01-02 11:00:00,9018.29,NSW1,Bankstown,29.4,8884.84,8681.63,8693.48
2010-01-02 11:30:00,9090.32,NSW1,Bankstown,28.9,8890.7,8754.04,8767.3
2010-01-02 12:00:00,9028.7,NSW1,Bankstown,23.0,8900.32,8828.02,8846.38
2010-01-02 12:30:00,8940.66,NSW1,Bankstown,22.5,8890.52,8876.61,8896.76
2010-01-02 13:00:00,8792.66,NSW1,Bankstown,24.7,8929.42,9281.08,8932.7
2010-01-02 13:30:00,8823.5,NSW1,Bankstown,26.3,8853.01,9328.89,8971.76
2010-01-02 14:00:00,8908.07,NSW1,Bankstown,27.0,8942.07,9380.5,9013.63
2010-01-02 14:30:00,8929.36,NSW1,Bankstown,27.3,8727.02,9429.1,9032.96
2010-01-02 15:00:00,9017.31,NSW1,Bankstown,27.4,8926.57,9443.44,9029.82
2010-01-02 15:30:00,9147.54,NSW1,Bankstown,28.3,8963.78,9421.33,9009.02
2010-01-02 16:00:00,9282.8,NSW1,Bankstown,28.5,9047.68,9455.85,8936.88
2010-01-02 16:30:00,9294.07,NSW1,Bankstown,24.0,9196.87,9323.43,8797.36
2010-01-02 17:00:00,9263.27,NSW1,Bankstown,23.4,9181.35,9252.42,8751.41
2010-01-02 17:30:00,9136.62,NSW1,Bankstown,24.2,9057.73,9129.7,8622.09
2010-01-02 18:00:00,9039.32,NSW1,Bankstown,24.7,8927.79,8981.87,8490.79
2010-01-02 18:30:00,8929.77,NSW1,Bankstown,24.7,8736.96,8552.43,8227.49
2010-01-02 19:00:00,8711.58,NSW1,Bankstown,24.1,8647.61,8475.27,8087.11
2010-01-02 19:30:00,8632.31,NSW1,Bankstown,23.4,8479.68,8496.53,8029.65
2010-01-02 20:00:00,8714.63,NSW1,Bankstown,22.5,8515.86,8544.28,8065.8
2010-01-02 20:30:00,8637.4,NSW1,Bankstown,22.6,8404.97,8406.16,7952.71
2010-01-02 21:00:00,8429.31,NSW1,Bankstown,22.7,8368.03,8197.52,7786.12
2010-01-02 21:30:00,8386.9,NSW1,Bankstown,22.9,8241.53,8093.6,7724.6
2010-01-02 22:00:00,8223.8,NSW1,Bankstown,22.9,8070.55,7929.16,7605.19
2010-01-02 22:30:00,8056.14,NSW1,Bankstown,22.7,7980.98,7876.54,7618.39
2010-01-02 23:00:00,7774.04,NSW1,Bankstown,22.3,7734.4,7663.23,7415.72
2010-01-02 23:30:00,7494.76,NSW1,Bankstown,22.2,7514.99,7466.95,7292.11
2010-01-03 00:00:00,7284.1,NSW1,Bankstown,21.5,7324.27,7282.19,7128.83
2010-01-03 00:30:00,7053.93,NSW1,Bankstown,20.6,7140.82,6873.94,6880.7
2010-01-03 01:00:00,6820.07,NSW1,Bankstown,20.0,6918.88,6664.09,6660.99
2010-01-03 01:30:00,6537.47,NSW1,Bankstown,19.8,6633.87,6390.88,6390.28
2010-01-03 02:00:00,6362.67,NSW1,Bankstown,19.5,6397.03,6162.3,6161.78
2010-01-03 02:30:00,6178.57,NSW1,Bankstown,19.4,6214.1,5991.63,5983.77
2010-01-03 03:00:00,6088.35,NSW1,Bankstown,18.8,6109.29,5900.29,5919.54
2010-01-03 03:30:00,6077.74,NSW1,Bankstown,19.0,6033.52,5854.01,5861.66
2010-01-03 04:00:00,6059.53,NSW1,Bankstown,19.3,6026.67,5834.61,5849.71
2010-01-03 04:30:00,6101.68,NSW1,Bankstown,19.4,6060.73,5878.74,5894.96
2010-01-03 05:00:00,6111.6,NSW1,Bankstown,19.5,6081.58,5897.46,5910.87
2010-01-03 05:30:00,6173.45,NSW1,Bankstown,19.8,6090.33,5953.45,5969.41
2010-01-03 06:00:00,6289.99,NSW1,Bankstown,19.8,6161.2,6067.04,6085.14
2010-01-03 06:30:00,6486.85,NSW1,Bankstown,20.0,6342.18,6277.98,6286.53
2010-01-03 07:00:00,6741.22,NSW1,Bankstown,19.8,6557.7,6493.44,6565.83
2010-01-03 07:30:00,7067.4,NSW1,Bankstown,19.8,7092.96,6848.33,6950.79
2010-01-03 08:00:00,7372.19,NSW1,Bankstown,19.3,7440.98,7211.74,7273.64
2010-01-03 08:30:00,7654.43,NSW1,Bankstown,18.6,7803.19,7626.88,7610.6
2010-01-03 09:00:00,7872.77,NSW1,Bankstown,18.7,7930.63,7950.23,7861.89
2010-01-03 09:30:00,8080.89,NSW1,Bankstown,18.8,8161.55,8183.89,8064.3
2010-01-03 10:00:00,8170.53,NSW1,Bankstown,18.7,8293.91,8306.74,8189.48
2010-01-03 10:30:00,8219.42,NSW1,Bankstown,18.7,8197.17,8390.76,8282.62
2010-01-03 11:00:00,8247.61,NSW1,Bankstown,18.3,8201.41,8413.43,8349.14
2010-01-03 11:30:00,8210.11,NSW1,Bankstown,18.6,8196.2,8414.36,8404.45
2010-01-03 12:00:00,8190.92,NSW1,Bankstown,19.0,8157.58,8401.75,8422.79
2010-01-03 12:30:00,8167.87,NSW1,Bankstown,19.4,8099.67,8374.46,8426.38
2010-01-03 13:00:00,8085.82,NSW1,Bankstown,20.6,8080.04,8336.17,8397.17
2010-01-03 13:30:00,8006.24,NSW1,Bankstown,20.8,8048.18,8284.23,8376.23
2010-01-03 14:00:00,7954.82,NSW1,Bankstown,20.2,7985.13,8266.67,8370.96
2010-01-03 14:30:00,7958.57,NSW1,Bankstown,20.2,7956.81,8261.15,8367.86
2010-01-03 15:00:00,7953.7,NSW1,Bankstown,20.3,7980.16,8258.14,8373.58
2010-01-03 15:30:00,7925.27,NSW1,Bankstown,20.2,7975.05,8271.3,8384.1
2010-01-03 16:00:00,7902.04,NSW1,Bankstown,19.2,7933.09,8293.5,8383.02
2010-01-03 16:30:00,7867.11,NSW1,Bankstown,19.7,7913.97,8275.32,8343.82
2010-01-03 17:00:00,7941.71,NSW1,Bankstown,19.4,7934.12,8318.98,8338.2
2010-01-03 17:30:00,7980.47,NSW1,Bankstown,19.6,7959.85,8269.19,8307.85
2010-01-03 18:00:00,7961.48,NSW1,Bankstown,19.8,7970.09,8250.53,8248.89
2010-01-03 18:30:00,7916.13,NSW1,Bankstown,19.6,7939.08,8226.1,8196.61
2010-01-03 19:00:00,7878.88,NSW1,Bankstown,19.7,7926.3,8224.36,8240.94
2010-01-03 19:30:00,7933.04,NSW1,Bankstown,19.7,7996.48,8252.44,8268.23
2010-01-03 20:00:00,7995.93,NSW1,Bankstown,19.5,8056.84,8285.08,8298.08
2010-01-03 20:30:00,7832.08,NSW1,Bankstown,19.0,7967.62,8165.41,8195.53
2010-01-03 21:00:00,7642.16,NSW1,Bankstown,19.0,7775.05,8038.46,8017.6
2010-01-03 21:30:00,7596.42,NSW1,Bankstown,19.2,7713.44,7958.82,7940.68
2010-01-03 22:00:00,7528.43,NSW1,Bankstown,19.2,7569.87,7671.96,7772.92
2010-01-03 22:30:00,7445.23,NSW1,Bankstown,18.8,7533.74,7598.53,7677.32
2010-01-03 23:00:00,7226.84,NSW1,Bankstown,18.5,7347.99,7405.83,7483.53
2010-01-03 23:30:00,7041.45,NSW1,Bankstown,17.9,7206.81,7251.13,7340.58
