station,YYYY-MM-DD,radiation,metadata,,,,,,,,,,
BANKSTOWN,1/01/2010,14.6,name=BANKSTOWN AIRPORT AWS                   ,,,,,,,,,,
BANKSTOWN,2/01/2010,18.4,latitude= -33.9176,,,,,,,,,,datapoints: 4095
BANKSTOWN,3/01/2010,7.3,longitude= 150.9837,,,,,,,,,,
BANKSTOWN,4/01/2010,14.4,elevation=   7.2 m,,,,,,,,,,
BANKSTOWN,5/01/2010,28.1,reference=rj,,,,,,,,,,
BANKSTOWN,6/01/2010,29.5,extracted=20260907,,,,,,,,,,
BANKSTOWN,7/01/2010,13.9,dataset=BoM Only,,,,,,,,,,
BANKSTOWN,8/01/2010,23.2,"Please read our web site for information about the meanings of the codes, and other information",,,,,,,,,,
BANKSTOWN,9/01/2010,32.6,,,,,,,,,,,
BANKSTOWN,10/01/2010,32.8,,,,,,,,,,,
BANKSTOWN,11/01/2010,24,,,,,Sourced from: https://www.longpaddock.qld.gov.au/silo/point-data/,,,,,,
BANKSTOWN,12/01/2010,29.2,,,,,,,,,,,
BANKSTOWN,13/01/2010,27.8,,,,,,,,,,,
BANKSTOWN,14/01/2010,9.7,,,,,,,,,,,
BANKSTOWN,15/01/2010,14.5,,,,,,,,,,,
BANKSTOWN,16/01/2010,18.4,,,,,,,,,,,
BANKSTOWN,17/01/2010,26.5,,,,,,,,,,,
BANKSTOWN,18/01/2010,30.6,,,,,,,,,,,
BANKSTOWN,19/01/2010,32.9,,,,,,,,,,,
BANKSTOWN,20/01/2010,33,,,,,,,,,,,
BANKSTOWN,21/01/2010,32.5,,,,,,,,,,,
BANKSTOWN,22/01/2010,29.6,,,,,,,,,,,
BANKSTOWN,23/01/2010,21.2,,,,,,,,,,,
BANKSTOWN,24/01/2010,10.6,,,,,,,,,,,
BANKSTOWN,25/01/2010,17.2,,,,,,,,,,,
BANKSTOWN,26/01/2010,26.3,,,,,,,,,,,
BANKSTOWN,27/01/2010,14.9,,,,,,,,,,,
BANKSTOWN,28/01/2010,8.7,,,,,,,,,,,
BANKSTOWN,29/01/2010,28.3,,,,,,,,,,,
BANKSTOWN,30/01/2010,17.8,,,,,,,,,,,
BANKSTOWN,31/01/2010,20,,,,,,,,,,,
BANKSTOWN,1/02/2010,23.9,,,,,,,,,,,
BANKSTOWN,2/02/2010,16.1,,,,,,,,,,,
BANKSTOWN,3/02/2010,21.7,,,,,,,,,,,
BANKSTOWN,4/02/2010,10.4,,,,,,,,,,,
BANKSTOWN,5/02/2010,10.8,,,,,,,,,,,
BANKSTOWN,6/02/2010,7.9,,,,,,,,,,,
BANKSTOWN,7/02/2010,11.5,,,,,,,,,,,
BANKSTOWN,8/02/2010,14.9,,,,,,,,,,,
BANKSTOWN,9/02/2010,21.1,,,,,,,,,,,
BANKSTOWN,10/02/2010,28.3,,,,,,,,,,,
BANKSTOWN,11/02/2010,24.4,,,,,,,,,,,
BANKSTOWN,12/02/2010,22.6,,,,,,,,,,,
BANKSTOWN,13/02/2010,4.1,,,,,,,,,,,
BANKSTOWN,14/02/2010,4.3,,,,,,,,,,,
BANKSTOWN,15/02/2010,23.5,,,,,,,,,,,
BANKSTOWN,16/02/2010,16.1,,,,,,,,,,,
BANKSTOWN,17/02/2010,22.8,,,,,,,,,,,
BANKSTOWN,18/02/2010,20.8,,,,,,,,,,,
BANKSTOWN,19/02/2010,15.6,,,,,,,,,,,
BANKSTOWN,20/02/2010,26.4,,,,,,,,,,,
BANKSTOWN,21/02/2010,27.5,,,,,,,,,,,
BANKSTOWN,22/02/2010,25,,,,,,,,,,,
BANKSTOWN,23/02/2010,21.1,,,,,,,,,,,
BANKSTOWN,24/02/2010,12.2,,,,,,,,,,,
BANKSTOWN,25/02/2010,17.6,,,,,,,,,,,
BANKSTOWN,26/02/2010,15.2,,,,,,,,,,,
BANKSTOWN,27/02/2010,25.7,,,,,,,,,,,
BANKSTOWN,28/02/2010,14,,,,,,,,,,,
BANKSTOWN,1/03/2010,3.4,,,,,,,,,,,
BANKSTOWN,2/03/2010,11.2,,,,,,,,,,,
BANKSTOWN,3/03/2010,20.3,,,,,,,,,,,
BANKSTOWN,4/03/2010,14.1,,,,,,,,,,,
BANKSTOWN,5/03/2010,9.3,,,,,,,,,,,
BANKSTOWN,6/03/2010,20.1,,,,,,,,,,,
BANKSTOWN,7/03/2010,17.6,,,,,,,,,,,
BANKSTOWN,8/03/2010,17.3,,,,,,,,,,,
BANKSTOWN,9/03/2010,25.2,,,,,,,,,,,
BANKSTOWN,10/03/2010,5.3,,,,,,,,,,,
BANKSTOWN,11/03/2010,19.7,,,,,,,,,,,
BANKSTOWN,12/03/2010,19.4,,,,,,,,,,,
BANKSTOWN,13/03/2010,12.7,,,,,,,,,,,
BANKSTOWN,14/03/2010,19.2,,,,,,,,,,,
BANKSTOWN,15/03/2010,19.7,,,,,,,,,,,
BANKSTOWN,16/03/2010,23.5,,,,,,,,,,,
BANKSTOWN,17/03/2010,24.3,,,,,,,,,,,
BANKSTOWN,18/03/2010,22.5,,,,,,,,,,,
BANKSTOWN,19/03/2010,22.5,,,,,,,,,,,
BANKSTOWN,20/03/2010,22.5,,,,,,,,,,,
BANKSTOWN,21/03/2010,19.5,,,,,,,,,,,
BANKSTOWN,22/03/2010,16.1,,,,,,,,,,,
BANKSTOWN,23/03/2010,21.5,,,,,,,,,,,
BANKSTOWN,24/03/2010,16.4,,,,,,,,,,,
BANKSTOWN,25/03/2010,19.4,,,,,,,,,,,
BANKSTOWN,26/03/2010,20.2,,,,,,,,,,,
BANKSTOWN,27/03/2010,16.7,,,,,,,,,,,
BANKSTOWN,28/03/2010,17.7,,,,,,,,,,,
BANKSTOWN,29/03/2010,5.4,,,,,,,,,,,
BANKSTOWN,30/03/2010,3.1,,,,,,,,,,,
BANKSTOWN,31/03/2010,8.7,,,,,,,,,,,
BANKSTOWN,1/04/2010,19.7,,,,,,,,,,,
BANKSTOWN,2/04/2010,17,,,,,,,,,,,
BANKSTOWN,3/04/2010,12.8,,,,,,,,,,,
BANKSTOWN,4/04/2010,14,,,,,,,,,,,
BANKSTOWN,5/04/2010,9.9,,,,,,,,,,,
BANKSTOWN,6/04/2010,10,,,,,,,,,,,
BANKSTOWN,7/04/2010,8.2,,,,,,,,,,,
BANKSTOWN,8/04/2010,17.4,,,,,,,,,,,
BANKSTOWN,9/04/2010,17.9,,,,,,,,,,,
BANKSTOWN,10/04/2010,15.1,,,,,,,,,,,
BANKSTOWN,11/04/2010,16.9,,,,,,,,,,,
BANKSTOWN,12/04/2010,18.3,,,,,,,,,,,
BANKSTOWN,13/04/2010,16.8,,,,,,,,,,,
BANKSTOWN,14/04/2010,18,,,,,,,,,,,
BANKSTOWN,15/04/2010,16.6,,,,,,,,,,,
BANKSTOWN,16/04/2010,10.5,,,,,,,,,,,
BANKSTOWN,17/04/2010,14,,,,,,,,,,,
BANKSTOWN,18/04/2010,14.2,,,,,,,,,,,
BANKSTOWN,19/04/2010,13.3,,,,,,,,,,,
BANKSTOWN,20/04/2010,13.6,,,,,,,,,,,
BANKSTOWN,21/04/2010,16,,,,,,,,,,,
BANKSTOWN,22/04/2010,16,,,,,,,,,,,
BANKSTOWN,23/04/2010,15.6,,,,,,,,,,,
BANKSTOWN,24/04/2010,8.5,,,,,,,,,,,
BANKSTOWN,25/04/2010,4.3,,,,,,,,,,,
BANKSTOWN,26/04/2010,15.6,,,,,,,,,,,
BANKSTOWN,27/04/2010,8.6,,,,,,,,,,,
BANKSTOWN,28/04/2010,15.1,,,,,,,,,,,
BANKSTOWN,29/04/2010,15,,,,,,,,,,,
BANKSTOWN,30/04/2010,7.6,,,,,,,,,,,
BANKSTOWN,1/05/2010,9.6,,,,,,,,,,,
BANKSTOWN,2/05/2010,14.6,,,,,,,,,,,
BANKSTOWN,3/05/2010,11.4,,,,,,,,,,,
BANKSTOWN,4/05/2010,8.8,,,,,,,,,,,
BANKSTOWN,5/05/2010,7.1,,,,,,,,,,,
BANKSTOWN,6/05/2010,14.4,,,,,,,,,,,
BANKSTOWN,7/05/2010,14.3,,,,,,,,,,,
BANKSTOWN,8/05/2010,13.9,,,,,,,,,,,
BANKSTOWN,9/05/2010,13.7,,,,,,,,,,,
BANKSTOWN,10/05/2010,13.5,,,,,,,,,,,
BANKSTOWN,11/05/2010,13.3,,,,,,,,,,,
BANKSTOWN,12/05/2010,13.7,,,,,,,,,,,
BANKSTOWN,13/05/2010,12.8,,,,,,,,,,,
BANKSTOWN,14/05/2010,13,,,,,,,,,,,
BANKSTOWN,15/05/2010,11.8,,,,,,,,,,,
BANKSTOWN,16/05/2010,11.6,,,,,,,,,,,
BANKSTOWN,17/05/2010,5.5,,,,,,,,,,,
BANKSTOWN,18/05/2010,6.5,,,,,,,,,,,
BANKSTOWN,19/05/2010,10.7,,,,,,,,,,,
BANKSTOWN,20/05/2010,9.9,,,,,,,,,,,
BANKSTOWN,21/05/2010,9.3,,,,,,,,,,,
BANKSTOWN,22/05/2010,8.9,,,,,,,,,,,
BANKSTOWN,23/05/2010,7.2,,,,,,,,,,,
BANKSTOWN,24/05/2010,7.4,,,,,,,,,,,
BANKSTOWN,25/05/2010,3.4,,,,,,,,,,,
BANKSTOWN,26/05/2010,2.1,,,,,,,,,,,
BANKSTOWN,27/05/2010,7.5,,,,,,,,,,,
